iso3,hazard,rp,income_cat,di,dy
CRI,Flood,5000.0,0.8,139.96556617522634,146.32967498980003
CRI,Flood,5000.0,1.0,271.12444894542085,244.43759207678647
CRI,Flood,5000.0,tot,129.46277505319546,129.46212632003053
CRI,Flood,AAL,0.2,1.0774277309855207,1.0016554525719938
CRI,Flood,AAL,0.4,3.060808772586153,3.458111407800724
CRI,Flood,AAL,0.6,3.5811737858057957,3.923651675898592
CRI,Flood,AAL,0.8,4.573846312675045,4.781815004049872
CRI,Flood,AAL,1.0,8.859904582049703,7.987821646074698
CRI,Flood,AAL,tot,4.230632236820443,4.230611037279177
CRI,Tsunami,10.0,0.2,0.20251151231597656,0.18931816301626667
CRI,Tsunami,10.0,0.4,0.6064092622337778,0.6940347091366114
CRI,Tsunami,10.0,0.6,0.683981834864424,0.754472321220682
CRI,Tsunami,10.0,0.8,0.8456421054696956,0.8828752631760763
CRI,Tsunami,10.0,1.0,1.5900400135487875,1.407867411987637
CRI,Tsunami,10.0,tot,0.7857169456865323,0.7857135737074546
CRI,Tsunami,25.0,0.2,0.42322641590403826,0.3956537911479011
CRI,Tsunami,25.0,0.4,1.2673275493877503,1.450454935137613
CRI,Tsunami,25.0,0.6,1.429445552021095,1.5767627862598224
CRI,Tsunami,25.0,0.8,1.7672974407354156,1.8451105769302323
CRI,Tsunami,25.0,1.0,3.3230058300501444,2.9422854633267885
CRI,Tsunami,25.0,tot,1.6420605576196887,1.6420535105604714
CRI,Tsunami,50.0,0.2,0.7952829689504443,0.7434713663334913
CRI,Tsunami,50.0,0.4,2.3814298404717418,2.7255437368697057
CRI,Tsunami,50.0,0.6,2.686065093871888,2.962888285951437
CRI,Tsunami,50.0,0.8,3.320921149697953,3.4671394849693282
CRI,Tsunami,50.0,1.0,6.244246207356592,5.528836175728734
CRI,Tsunami,50.0,tot,3.085589052069724,3.085575809970539
CRI,Tsunami,100.0,0.2,1.4278515828319307,1.3348289962882967
CRI,Tsunami,100.0,0.4,4.275620753714826,4.893443077125477
CRI,Tsunami,100.0,0.6,4.822563094662829,5.3195716418174435
CRI,Tsunami,100.0,0.8,5.9623840886645585,6.224904587162242
CRI,Tsunami,100.0,1.0,11.210923883524208,9.92647622663119
CRI,Tsunami,100.0,tot,5.53986868067967,5.539844905804929
CRI,Tsunami,250.0,0.2,3.1306237118122326,2.9266678394592596
CRI,Tsunami,250.0,0.4,9.374475523393768,10.729076546786775
CRI,Tsunami,250.0,0.6,10.57366925063662,11.66338106761062
CRI,Tsunami,250.0,0.8,13.07277397128675,13.648361033217606
CRI,Tsunami,250.0,1.0,24.580414773552597,21.76421010662842
CRI,Tsunami,250.0,tot,12.146391446136395,12.146339318740536
CRI,Tsunami,500.0,0.2,5.639846633937219,5.272418304616847
CRI,Tsunami,500.0,0.4,16.888201551036424,19.328527417503455
CRI,Tsunami,500.0,0.6,19.048559782691857,21.011685373203708
CRI,Tsunami,500.0,0.8,23.550719302353958,24.58764454556324
