iso3,hazard,JEL,h_week,JEL_adj,pop,JEL_pop_share,JEL_adj_pop_share
IDN,Flood,98648.31834191401,38.36,94603.73728989554,283487931.0,0.0003479806635645241,0.00033371345635837857
IDN,Storm surge,156.5964534386281,38.36,150.17599884764434,283487931.0,5.523919585791047e-07,5.297438882773614e-07
IDN,Tsunami,161607.92506838497,38.36,154982.0001405812,283487931.0,0.0005700698597584565,0.0005466969955083597
IDN,Wind,4758.488285786125,38.36,4563.390266068894,283487931.0,1.6785505714478282e-05,1.6097299980184673e-05
IDN,all_hazards,568869.8675456644,38.36,545546.2029762922,283487931.0,0.002006681079998656,0.001924407155718711
IND,Earthquake,451690.80830777937,45.720000000000006,516282.59389579186,1450935791.0,0.0003113099911860809,0.0003558273199256905
IND,Flood,418269.1596577555,45.720000000000006,478081.64948881464,1450935791.0,0.00028827544420106975,0.0003294988327218228
IND,Storm surge,8932.326141077689,45.720000000000006,10209.648779251798,1450935791.0,6.156251845522011e-06,7.036595859431658e-06
IND,Tsunami,39871.876053648186,45.720000000000006,45573.55432931988,1450935791.0,2.748011062995977e-05,3.140976645004402e-05
IND,Wind,174004.75639369257,45.720000000000006,198887.43655799064,1450935791.0,0.00011992588333200237,0.00013707528464847874
IND,all_hazards,1092768.9265539534,45.720000000000006,1249034.8830511689,1450935791.0,0.0007531476811946349,0.0008608477996054678
IRL,Earthquake,171.58165934811439,34.76,149.10446197351138,5380257.0,3.1890978320945334e-05,2.7713260160901493e-05
IRL,Flood,21.369522930491645,34.76,18.570115426597237,5380257.0,3.971840551574329e-06,3.4515294393180914e-06
IRL,Tsunami,12.003304010422674,34.76,10.430871185057303,5380257.0,2.230990826353216e-06,1.9387310281009444e-06
IRL,all_hazards,204.9544862890287,34.76,178.1054485851659,5380257.0,3.809380969887288e-05,3.310352062832052e-05
IRN,Earthquake,112009.04630941962,46.84,131162.59322833037,91567738.0,0.001223237012903165,0.001432410542109606
IRN,Flood,55958.036515947766,46.84,65526.860760174844,91567738.0,0.0006111108315894815,0.000715610783791283
IRN,Tsunami,600.4043635515766,46.84,703.0735097188962,91567738.0,6.556942179259431e-06,7.678179291912793e-06
IRN,Wind,52.602297161296164,46.84,61.597289975877814,91567738.0,5.7446321499496e-07,6.726964247590982e-07
IRN,all_hazards,168620.08948608028,46.84,197454.12478820002,91567738.0,0.001841479249886901,0.0021563722016175613
IRQ,Earthquake,6024.840608496654,31.72,4777.698602537846,46042015.0,0.0001308552766097803,0.00010376823435155578
IRQ,Flood,2322.276362719632,31.72,1841.565155636668,46042015.0,5.0438200037935605e-05,3.9997492630082936e-05
IRQ,all_hazards,8347.116971216285,31.72,6619.263758174513,46042015.0,0.00018129347664771589,0.0001437657269816387
ISL,Earthquake,240.66434394406133,36.32,218.5232243012077,404610.0,0.0005948057238922946,0.0005400835972942036
ISL,all_hazards,240.66434394406133,36.32,218.5232243012077,404610.0,0.0005948057238922946,0.0005400835972942036
ISR,Earthquake,2393.3229033877496,38.48,2302.376633059015,9974400.0,0.00023994655351577534,0.00023082858448217588
ISR,Flood,15.55989514601005,38.48,14.968619130461667,9974400.0,1.5599830712634393e-06,1.5007037145554285e-06
ISR,Tsunami,81.25371382688917,38.48,78.16607270146737,9974400.0,8.146225720533483e-06,7.836669143153209e-06
ISR,all_hazards,2490.1365123606492,38.48,2395.5113248909447,9974400.0,0.0002496527623075723,0.0002401659573398846
ITA,Earthquake,100275.71589509476,36.09,90473.76466634925,58986023.0,0.0016999911300189668,0.0015338169970596127
ITA,Flood,2328.295872781372,36.09,2100.7049512169933,58986023.0,3.947199275973178e-05,3.5613605467468005e-05
ITA,Tsunami,5113.634810093174,36.09,4613.777007406567,58986023.0,8.669231370443763e-05,7.821814003982887e-05
ITA,all_hazards,107717.64657796931,36.09,97188.24662497282,58986023.0,0.0018261554364831362,0.0016476487425669097
JOR,Earthquake,3884.8963930079813,48.79,4738.602375371485,11552876.0,0.0003362709331432261,0.00041016647070145004
JOR,Flood,121.3665021616456,48.79,148.03679101166722,11552876.0,1.0505306398306846e-05,1.2813847479334775e-05
JOR,all_hazards,4006.2628951696265,48.79,4886.639166383152,11552876.0,0.0003467762395415329,0.00042298031818078477
