iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta
GRC,37752.632117266396,37101.2201278838,10388805.0,33.4,Greece,ECA,HICs,0.5450174951544926,0.8333333333333334,0.6666666666666667,0.1247032487295633,0.37441217728509507,0.21374168590567783,0.4662910673206698,0.0999845416057328,0.309524457344361,3.705328168012808,0.06,1.5
GTM,12640.887111710099,12682.1851933397,18406359.0,45.2,Guatemala,LAC,UMICs,0.4666666666666667,0.6666666666666666,1.0,0.3252414222281725,0.18313296405310125,0.3272831981160057,0.4436122333736616,0.0619556570891973,0.3954084073471229,3.705328168012808,0.06,1.5
HND,6585.855357178609,6183.32922665544,10825703.0,45.7,Honduras,LAC,LMICs,0.2604377998089767,0.8333333333333334,1.0,0.242592640152496,0.12549734466811446,0.28575215337564697,0.40720288689577455,0.0451187848464295,0.4565126156052529,3.705328168012808,0.06,1.5
HRV,42633.766680832894,43091.2323856226,3866300.0,30.1,Croatia,ECA,HICs,0.4687164668184457,0.6666666666666666,0.6333333333333333,0.2034149049016802,0.3162401312912516,0.338694482250907,0.3442436561996546,0.0785927846979857,0.135379286777243,3.705328168012808,0.06,1.5
HTI,2800.661066365939,2985.3943136635,11772557.0,41.1,Haiti,LAC,LMICs,0.5333333333333333,0.5,0.5,0.1143319686014651,0.13049444259456391,0.12021317322880967,0.5153874018032318,0.0394642736209497,0.754352409262302,3.705328168012808,0.06,1.5
HUN,40702.1535135968,39108.9254267516,9562314.0,30.6,Hungary,ECA,HICs,0.6448860437011493,0.8333333333333334,0.7083333333333334,0.2093766840969745,0.4816070835837949,0.32176152478122655,0.44611531935069304,0.1082255507775646,0.122944560329107,3.705328168012808,0.06,1.5
IDN,14470.437202057798,13851.4910785419,283487931.0,34.9,Indonesia,EAP,UMICs,0.7011917233988042,0.6666666666666666,0.6333333333333333,0.1761408179006248,0.15168100557127023,0.3588491158525397,0.4948749779125363,0.0196589180261576,0.540456286515265,3.705328168012808,0.06,1.5
IND,9817.070820970479,9744.07793295972,1450935791.0,25.5,India,SAR,LMICs,0.7738320593043702,1.0,0.775,0.2680875156035308,0.06804529105697421,0.1152723731482714,0.5802280005607683,0.0573908840877186,0.7612658681171909,3.705328168012808,0.06,1.5
IRL,115337.16670137396,85924.0824714224,5380257.0,29.0,Ireland,ECA,HICs,0.5127947441090477,0.8333333333333334,0.8416666666666667,0.274919206221943,0.5594564137496166,0.603479249299472,0.2540825844001283,0.0426102309415736,0.137488731291084,3.705328168012808,0.06,1.5
IRN,16224.035344583497,15066.2931691639,91567738.0,35.9,"Iran, Islamic Rep.",MNA,UMICs,0.5945261939061661,0.8333333333333334,0.8333333333333334,0.1673617841863386,0.2852517391538282,0.2692307587084607,0.4935960539906784,0.0794831200441085,0.4251084920428309,3.705328168012808,0.06,1.5
IRQ,12725.043126039298,12194.7249857393,46042015.0,29.8,Iraq,MNA,UMICs,0.2611828188184946,0.5,0.3666666666666666,0.4073304239369676,0.11685537630025951,0.09751388832673871,0.24598471099455532,0.0542300266071183,0.3159730828755089,3.705328168012808,0.06,1.5
ISL,65645.09485675399,61705.3991597158,404610.0,26.8,Iceland,ECA,HICs,0.6291541148918254,0.8333333333333334,0.8,0.2088920584384275,0.44168003274335954,0.4376993773772012,0.3307795698766459,0.0705449092119886,0.136835578997005,3.705328168012808,0.06,1.5
ISR,47338.8424624205,46968.0465951218,9974400.0,37.9,Israel,MNA,HICs,0.3037350504261213,0.6666666666666666,0.7416666666666667,0.2848230351273969,0.34280791852063375,0.47851180931815296,0.3668030447403404,0.0818933624508303,0.1169300809039,3.705328168012808,0.06,1.5
ITA,53115.1350996573,52778.0351591653,58986023.0,34.3,Italy,ECA,HICs,0.6623002024068627,0.8333333333333334,0.7,0.1434501066431165,0.45312044271198393,0.35120236993429926,0.4433183987019144,0.0938885907117468,0.213666291620479,3.705328168012808,0.06,1.5
JOR,9520.250644974538,9136.54209984611,11552876.0,33.7,Jordan,MNA,LMICs,0.5705707672674138,0.5,0.4333333333333333,0.3098295810740082,0.21035896626097958,0.2714718518873347,0.4185991409510056,0.1032604360098305,0.117041786163593,3.705328168012808,0.06,1.5
JPN,46097.429977301195,47902.5061712578,123975371.0,32.3,Japan,EAP,HICs,0.5890552972778644,0.8333333333333334,0.8083333333333333,0.2106785735429563,0.39916581955690233,0.3599670066204922,0.302326081040606,0.0713913450791218,0.0950253170182913,3.705328168012808,0.06,1.5
KAZ,35905.441493890496,32268.45091455,20592571.0,29.2,Kazakhstan,ECA,UMICs,0.4874772623375023,1.0,0.7916666666666667,0.4992063423501769,0.3053730870878205,0.4312580152561505,0.3779184873810123,0.0623870067945321,0.2538945746248,3.705328168012808,0.06,1.5
KEN,5823.40759464391,5695.37403184006,56432944.0,37.7,Kenya,SSA,LMICs,0.6358429590097112,0.6666666666666666,1.0,0.442077796979773,0.08239468731128075,0.15547282014632732,0.4940611428275189,0.0545614274790111,0.6524706147265159,3.705328168012808,0.06,1.5
KOR,50414.20833917639,49571.0547938155,51751065.0,32.9,"Korea, Rep.",EAP,HICs,0.6918635585867663,1.0,0.9416666666666668,0.202797209207779,0.3444934082173169,0.48660436482760694,0.3075648166200748,0.043371626725957,0.2318346768512419,3.705328168012808,0.06,1.5
LAO,8610.901662796658,7620.24843935199,7769819.0,38.8,Lao PDR,EAP,LMICs,0.5617039206533438,0.3333333333333333,0.2291666666666666,0.2864886795282072,0.11916209766790141,0.06663548972114246,0.39991871336948037,0.0460928181016196,0.774701374900218,3.705328168012808,0.06,1.5
