iso3,hazard,rp,income_cat,di
ARG,Earthquake,500.0,0.8,1095.8410274913385
ARG,Earthquake,500.0,1.0,5973.905501833776
ARG,Earthquake,500.0,tot,1583.2092960974041
ARG,Earthquake,1000.0,0.2,277.0793398466417
ARG,Earthquake,1000.0,0.4,399.90448214763086
ARG,Earthquake,1000.0,0.6,549.8657855186623
ARG,Earthquake,1000.0,0.8,1588.6000378807958
ARG,Earthquake,1000.0,1.0,8660.148934407765
ARG,Earthquake,1000.0,tot,2295.119715960299
ARG,Earthquake,2500.0,0.2,448.0305470145885
ARG,Earthquake,2500.0,0.4,646.6358119279331
ARG,Earthquake,2500.0,0.6,889.1195886596471
ARG,Earthquake,2500.0,0.8,2568.727586665484
ARG,Earthquake,2500.0,1.0,14003.24999495825
ARG,Earthquake,2500.0,tot,3711.1527058451807
ARG,Earthquake,5000.0,0.2,639.0788272722066
ARG,Earthquake,5000.0,0.4,922.3729478107628
ARG,Earthquake,5000.0,0.6,1268.2561664860143
ARG,Earthquake,5000.0,0.8,3664.079212024107
ARG,Earthquake,5000.0,1.0,19974.48755315796
ARG,Earthquake,5000.0,tot,5293.65494135021
ARG,Earthquake,AAL,0.2,3.303170959302121
ARG,Earthquake,AAL,0.4,4.767417421507966
ARG,Earthquake,AAL,0.6,6.5551646515556845
ARG,Earthquake,AAL,0.8,18.938321110402512
ARG,Earthquake,AAL,1.0,103.24101565710158
ARG,Earthquake,AAL,tot,27.361017959973974
ARG,Flood,10.0,0.2,29.63379497753534
ARG,Flood,10.0,0.4,42.85132319449331
ARG,Flood,10.0,0.6,58.41967374606077
ARG,Flood,10.0,0.8,204.54842322646527
ARG,Flood,10.0,1.0,604.0486519559597
ARG,Flood,10.0,tot,187.90037342010288
ARG,Flood,25.0,0.2,60.10552117654309
ARG,Flood,25.0,0.4,86.91431912996666
ARG,Flood,25.0,0.6,118.4912340836665
ARG,Flood,25.0,0.8,414.88069932273993
ARG,Flood,25.0,1.0,1225.1775066043258
ARG,Flood,25.0,tot,381.1138560634484
ARG,Flood,50.0,0.2,83.23804865728694
ARG,Flood,50.0,0.4,120.364621804137
ARG,Flood,50.0,0.6,164.094394575641
ARG,Flood,50.0,0.8,574.5538706130169
ARG,Flood,50.0,1.0,1696.7057753147615
ARG,Flood,50.0,tot,527.7913421929686
ARG,Flood,100.0,0.2,92.7496733920546
ARG,Flood,100.0,0.4,134.11870581272393
ARG,Flood,100.0,0.6,182.84548650366878
ARG,Flood,100.0,0.8,640.2082305521842
ARG,Flood,100.0,1.0,1890.588607510335
ARG,Flood,100.0,tot,588.1021407541932
ARG,Flood,250.0,0.2,98.5384315475063
ARG,Flood,250.0,0.4,142.48941725221604
ARG,Flood,250.0,0.6,194.25736821145216
ARG,Flood,250.0,0.8,680.1653590277865
ARG,Flood,250.0,1.0,2008.585359629008
ARG,Flood,250.0,tot,624.8071871335939
ARG,Flood,500.0,0.2,103.62600355326377
ARG,Flood,500.0,0.4,149.84619327294595
ARG,Flood,500.0,0.6,204.2869407640481
ARG,Flood,500.0,0.8,715.2825228138513
ARG,Flood,500.0,1.0,2112.2892900279426
ARG,Flood,500.0,tot,657.0661900864104
ARG,Flood,1000.0,0.2,109.67349531855001
ARG,Flood,1000.0,0.4,158.59104098302834
ARG,Flood,1000.0,0.6,216.20888650801442
ARG,Flood,1000.0,0.8,757.0255701016533
ARG,Flood,1000.0,1.0,2235.5600102075546
ARG,Flood,1000.0,tot,695.4118006237602
ARG,Flood,2500.0,0.2,119.43916136160216
ARG,Flood,2500.0,0.4,172.71247605867453
ARG,Flood,2500.0,0.6,235.46079213065153
ARG,Flood,2500.0,0.8,824.4334600589434
ARG,Flood,2500.0,1.0,2434.6211636382845
ARG,Flood,2500.0,tot,757.3334106496312
ARG,Flood,5000.0,0.2,128.45074210205738
ARG,Flood,5000.0,0.4,185.74348201303317
ARG,Flood,5000.0,0.6,253.22610390367024
ARG,Flood,5000.0,0.8,886.6362468648606
ARG,Flood,5000.0,1.0,2618.311210842504
ARG,Flood,5000.0,tot,814.4735571452251
ARG,Flood,AAL,0.2,1.8720558705943398
ARG,Flood,AAL,0.4,2.7070468433016983
ARG,Flood,AAL,0.6,3.690546326497296
ARG,Flood,AAL,0.8,12.921938510143596
ARG,Flood,AAL,1.0,38.1595683534956
ARG,Flood,AAL,tot,11.870231180806506
ARG,all_hazards,10.0,0.2,33.78600290826736
ARG,all_hazards,10.0,0.4,48.84414302446591
ARG,all_hazards,10.0,0.6,66.65975789211242
